Week,Player,Choice,Type,Fantasy Points
11,Peltron3030,PJ Walker,Deep,10.12
11,tanay002,Alex Smith,Deep,8.34
12,christhrowsrocks,Derek Carr,Standard,0.6
12,Verticle,Derek Carr,Standard,0.6
12,Chandlerbing310,Derek Carr,Standard,0.6
12,Templare1,Derek Carr,Standard,0.6
12,Herbal,Derek Carr,Standard,0.6
12,FoolsTP,Derek Carr,Standard,0.6
12,Moose,Derek Carr,Standard,0.6
12,FooL,Derek Carr,Standard,0.6
12,Madmike,Daniel Jones,Standard,10.42
12,Peltron3030,Kirk Cousins,Standard,26.18
12,tanay002,Derek Carr,Standard,0.6
12,dudekids,Kirk Cousins,Standard,26.18
12,Bakron,Derek Carr,Standard,0.6
12,Noro,Derek Carr,Standard,0.6
12,Kieran563,Derek Carr,Standard,0.6
12,elementsoul,Baker Mayfield,Standard,18.42
12,tc216997,Baker Mayfield,Standard,18.42
12,Bootz,Ryan Fitzpatrick,Standard,19.28
12,ikyn,Ryan Fitzpatrick,Standard,19.28
12,christhrowsrocks,Alex Smith,Deep,8.06
12,Verticle,Alex Smith,Deep,8.06
12,Chandlerbing310,Alex Smith,Deep,8.06
12,Templare1,Andy Dalton,Deep,12.3
12,Herbal,Mitch Trubisky,Deep,18.78
12,FoolsTP,Andy Dalton,Deep,12.3
12,Moose,Alex Smith,Deep,8.06
12,FooL,Alex Smith,Deep,8.06
12,Madmike,Ryan Fitzpatrick,Deep,19.28
12,Peltron3030,Mitch Trubisky,Deep,18.78
12,tanay002,Alex Smith,Deep,8.06
12,dudekids,Drew Lock,Deep,0
12,Bakron,Mitch Trubisky,Deep,18.78
12,Noro,Alex Smith,Deep,8.06
12,Kieran563,Andy Dalton,Deep,12.3
12,elementsoul,Mitch Trubisky,Deep,18.78
12,tc216997,Ryan Fitzpatrick,Deep,19.28
12,Bootz,Ryan Fitzpatrick,Deep,19.28
12,ikyn,Mitch Trubisky,Deep,18.78
13,Kingships,Sam Darnold,Standard,20.04
13,Peltron3030,Mike Glennon,Standard,12.1
13,Moose,Derek Carr,Standard,31.74
13,Chandlerbing310,Ryan Fitzpatrick,Standard,0
13,Madmike,Colt McCoy,Standard,8.4
13,Apatel78,Derek Carr,Standard,31.74
13,elementsoul,Colt McCoy,Standard,8.4
13,FoolsTP,Derek Carr,Standard,31.74
13,Templare1,Mitch Trubisky,Standard,13.28
13,Bakron,Derek Carr,Standard,31.74
13,Kieran563,Derek Carr,Standard,31.74
13,Bootz,Mitch Trubisky,Standard,13.28
13,Herbal,Mike Glennon,Standard,12.1
13,dudekids,Philip Rivers,Standard,19.2
13,tc216997,Derek Carr,Standard,31.74
13,noro,Philip Rivers,Standard,19.2
13,christhrowsrocks,Philip Rivers,Standard,19.2
13,Kingships,Sam Darnold,Deep,20.04
13,Peltron3030,Mitch Trubisky,Deep,13.28
13,Moose,Mitch Trubisky,Deep,13.28
13,Chandlerbing310,Mitch Trubisky,Deep,13.28
13,Madmike,Colt McCoy,Deep,8.4
13,Apatel78,Drew Lock,Deep,10.94
13,elementsoul,Mike Glennon,Deep,12.1
13,FoolsTP,Alex Smith,Deep,15.84
13,Templare1,Drew Lock,Deep,10.94
13,Bakron,Mitch Trubisky,Deep,13.28
13,Kieran563,Sam Darnold,Deep,20.04
13,Bootz,Mitch Trubisky,Deep,13.28
13,Herbal,Mitch Trubisky,Deep,13.28
13,dudekids,Mitch Trubisky,Deep,13.28
13,tc216997,Mike Glennon,Deep,12.1
13,noro,Tua Tagovailoa,Deep,16.14
13,christhrowsrocks,Tua Tagovailoa,Deep,16.14
14,christhrowsrocks,Philip Rivers,Standard,17.76
14,Templare1,Mitch Trubisky,Standard,24.98
14,dudekids,Philip Rivers,Standard,17.76
14,elementsoul,Teddy Bridgewater,Standard,20.42
14,Peltron3030,Mike Glennon,Standard,1.4
14,Noro,Philip Rivers,Standard,17.76
14,Kingships,Baker Mayfield,Standard,30.02
14,tc216997,Philip Rivers,Standard,17.76
14,Bakron,Derek Carr,Standard,23.84
14,Kieran563,Andy Dalton,Standard,15.3
14,Moose,Andy Dalton,Standard,15.3
14,apatel78,Derek Carr,Standard,23.84
14,Herbal,Teddy Bridgewater,Standard,20.42
14,FoolsTP,Daniel Jones,Standard,3.08
14,Chandlerbing310,Mitch Trubisky,Standard,24.98
14,FooL,Philip Rivers,Standard,17.76
14,Bootz,Andy Dalton,Standard,15.3
14,tanay002,Derek Carr,Standard,23.84
14,christhrowsrocks,Mitch Trubisky,Deep,24.98
14,Templare1,Mitch Trubisky,Deep,24.98
14,dudekids,Andy Dalton,Deep,15.3
14,elementsoul,Andy Dalton,Deep,15.3
14,Peltron3030,Mitch Trubisky,Deep,24.98
14,Noro,Mike Glennon,Deep,1.4
14,Kingships,Sam Darnold,Deep,5.58
14,tc216997,Mitch Trubisky,Deep,24.98
14,Bakron,Mitch Trubisky,Deep,24.98
14,Kieran563,Mike Glennon,Deep,1.4
14,Moose,Brandon Allen,Deep,13.88
14,apatel78,Tua Tagovailoa,Deep,27.04
14,Herbal,Mike Glennon,Deep,1.4
14,FoolsTP,Mitch Trubisky,Deep,24.98
14,Chandlerbing310,Mitch Trubisky,Deep,24.98
14,FooL,Andy Dalton,Deep,15.3
14,Bootz,Andy Dalton,Deep,15.3
14,tanay002,Alex Smith,Deep,0.28
15,christhrowsrocks,Jalen Hurts,Standard,37.82
15,Peltron3030,Jalen Hurts,Standard,37.82
15,Moose,Jalen Hurts,Standard,37.82
15,elementsoul,Jalen Hurts,Standard,37.82
15,Herbal,Jalen Hurts,Standard,37.82
15,Bootz,Mitch Trubisky,Standard,13.48
15,Noro,Philip Rivers,Standard,17.02
15,FoolsTP,Philip Rivers,Standard,17.02
15,Templare1,Jalen Hurts,Standard,37.82
15,Kingships,Jalen Hurts,Standard,37.82
15,tanay002,Gardner Minshew,Standard,15.94
15,Madmike,Jalen Hurts,Standard,37.82
15,tc216997,Philip Rivers,Standard,17.02
15,Bakron,Jalen Hurts,Standard,37.82
15,dudekids,Philip Rivers,Standard,17.02
15,Kieran563,Philip Rivers,Standard,17.02
15,christhrowsrocks,Mitch Trubisky,Deep,13.48
15,Peltron3030,Drew Lock,Deep,10.98
15,Moose,Tua Tagovailoa,Deep,18.7
15,elementsoul,Andy Dalton,Deep,17.16
15,Herbal,Mitch Trubisky,Deep,13.48
15,Bootz,Mitch Trubisky,Deep,13.48
15,Noro,Drew Lock,Deep,10.98
15,FoolsTP,Andy Dalton,Deep,17.16
15,Templare1,Mitch Trubisky,Deep,13.48
15,Kingships,Mitch Trubisky,Deep,13.48
15,tanay002,Gardner Minshew,Deep,15.94
15,Madmike,Dwayne Haskins,Deep,14.6
15,tc216997,Nick Mullens,Deep,11.46
15,Bakron,Mitch Trubisky,Deep,13.48
15,dudekids,Nick Mullens,Deep,11.46
15,Kieran563,Nick Mullens,Deep,11.46
16,christhrowsrocks,Mitch Trubisky,Standard,23.6
16,elementsoul,Tua Tagovailoa,Standard,8.86
16,Madmike,Andy Dalton,Standard,26.58
16,Peltron3030,Tua Tagovailoa,Standard,8.86
16,Templare1,Mitch Trubisky,Standard,23.6
16,tanay002,Tua Tagovailoa,Standard,8.86
16,tc216997,Drew Lock,Standard,14.06
16,dudekids,Mitch Trubisky,Standard,23.6
16,Moose,Mitch Trubisky,Standard,23.6
16,Herbal,Mitch Trubisky,Standard,23.6
16,Noro,Mitch Trubisky,Standard,23.6
16,Kieran563,Mitch Trubisky,Standard,23.6
16,FooL,Mitch Trubisky,Standard,23.6
16,Chandlerbing310,Tua Tagovailoa,Standard,8.86
16,Bootz,Brandon Allen,Standard,23.14
16,Kingships,Drew Lock,Standard,14.06
16,Bakron,Mitch Trubisky,Standard,23.6
16,christhrowsrocks,Drew Lock,Deep,14.06
16,elementsoul,Mitch Trubisky,Deep,23.6
16,Madmike,Andy Dalton,Deep,26.58
16,Peltron3030,Mitch Trubisky,Deep,23.6
16,Templare1,Mitch Trubisky,Deep,23.6
16,tanay002,Mitch Trubisky,Deep,23.6
16,tc216997,Drew Lock,Deep,14.06
16,dudekids,Mitch Trubisky,Deep,23.6
16,Moose,Andy Dalton,Deep,26.58
16,Herbal,Tua Tagovailoa,Deep,8.86
16,Noro,Tua Tagovailoa,Deep,8.86
16,Kieran563,CJ Beathard,Deep,19.08
16,FooL,Tua Tagovailoa,Deep,8.86
16,Chandlerbing310,Tua Tagovailoa,Deep,8.86
16,Bootz,Brandon Allen,Deep,23.14
16,Kingships,Tua Tagovailoa,Deep,8.86
16,Bakron,Mitch Trubisky,Deep,23.6
